Sr. No.,SKU Code,Activity Name,Vendor Name,Category,Current Status,Rates,GST,Location,Latitude,Longitute
384,298,Goa - Maka Di Brewery Tour,LATAMBARCEM BREWERS PRIVATE LIMITED,FOOD & CULINARY,Locked,1428,18.00%,"Latambarcem, Bicholim",15.566000,74.011000
385,294,South Goa : Butterfly Beach Trip by Speed Boat,PRINCE OF SAL,WATER ACTIVITIES,Locked,28000,18.00%,Mobor,15.173000,73.946000
386,293,South Goa : Special Yacht Trip,PRINCE OF SAL,SAILING & YACHT,Locked,25000,18.00%,Colva,15.278000,73.922000
387,291,Trolling Fishing,PRINCE OF SAL,WATER ACTIVITIES,Locked,4500,18.00%,Mobor,15.173000,73.946000
388,290,South Goa : Fishing trip,PRINCE OF SAL,WATER ACTIVITIES,Locked,,,Mobor,15.173000,73.946000
389,289,South Goa : Up-River Trip - Bird Watching,PRINCE OF SAL,NATURE & WILDLIFE,Locked,4500,18.00%,Mobor,15.173000,73.946000
390,288,Mobor : Sunset Sonata – Special Speed Boat,PRINCE OF SAL,WATER ACTIVITIES,Locked,9000,18.00%,Mobor,15.173000,73.946000
391,286,South Goa : Special Dolphin Trip – Speed Boat,PRINCE OF SAL,WATER ACTIVITIES,Locked,4500,18.00%,Mobor,15.173000,73.946000
392,284,South Goa : Dolphin Watching Trip – Cruiser Boat,PRINCE OF SAL,WATER ACTIVITIES,Locked,900,18.00%,Mobor,15.173000,73.946000
393,283,South Goa : Speed Boat Rides,PRINCE OF SAL,WATER ACTIVITIES,Locked,1000,18.00%,Mobor,15.173000,73.946000
394,282,South Goa : Kayaking on Mobor Beach,PRINCE OF SAL,WATER ACTIVITIES,Locked,500,18.00%,Mobor,15.173000,73.946000
